brand,artist,title,album,style,difficulty,total_xp,artwork_filename,pdf_filename,assignment_title,assignment_xp,soundslice_slug,publishing_status,instrument_removed
guitareo,The Beatles,Blackbird,The Beatles (White Album),PopRock,8,200,the-beatles-the-beatles-white-album.jpg,,Blackbird,25,Mnmkc,Published,0
guitareo,The Black Keys,Lonely Boy,El Camino,PopRock,8,200,the-black-keys-el-camino.jpg,,Lonely Boy,25,NGc4c,Published,0
singeo,Norah Jones,'Don''t Know Why',Come Away with Me,PopRock,5,150,norah-jones-come-away-with-me.jpg,norah-jones-dont-know-why.pdf,'Don''t Know Why',25,R8D4c,Published,0
singeo,Carpenters,Hurting Each Other,A Song For You,PopRock,4,150,carpenters-a-song-for-you.jpg,carpenters-hurting-each-other.pdf,Hurting Each Other,25,f8D4c,Published,0
singeo,Elvis Presley,Blue Suede Shoes,Elvis Presley,PopRock,6,150,elvis-presley-elvis-presley.jpg,elvis-presley-blue-suede-shoes.pdf,Blue Suede Shoes,25,V8D4c,Published,0
singeo,Elvis Presley,Hound Dog,Hound Dog - Single,PopRock,6,150,elvis-presley-hound-dog-single.jpg,elvis-presley-hound-dog.pdf,Hound Dog,25,c8D4c,Published,0
singeo,Janis Joplin,Piece Of My Heart,Cheap Thrills (With Big Brother And The Holding Company),PopRock,5,150,janis-joplin-cheap-thrills-with-big-brother-and-the-holding-company.jpg,janis-joplin-piece-of-my-heart.pdf,Piece Of My Heart,25,N8D4c,Published,0
singeo,Katy Perry,I Kissed A Girl,One of the Boys,PopRock,6,150,katy-perry-one-of-the-boys.jpg,katy-perry-i-kissed-a-girl.pdf,I Kissed A Girl,25,p1D4c,Published,0
singeo,Katy Perry,Teenage Dream,Katy Perry,PopRock,6,150,katy-perry-katy-perry.jpg,katy-perry-teenage-dream.pdf,Teenage Dream,25,S1D4c,Published,0
singeo,Kelly Clarkson,Because Of You,Breakaway,PopRock,3,100,kelly-clarkson-breakaway.jpg,kelly-clarkson-because-of-you.pdf,Because Of You,25,v1D4c,Published,0
singeo,Lady Gaga,Bad Romance,The Fame Monster,PopRock,5,150,lady-gaga-the-fame-monster.jpg,lady-gaga-bad-romance.pdf,Bad Romance,25,m1D4c,Published,0
singeo,Lady Gaga,'I''ll Never Love Again',A Star Is Born: Original Motion Picture Soundtrack,Soundtrack,4,150,lady-gaga-a-star-is-born-original-motion-picture-soundtrack.jpg,lady-gaga-ill-never-love-again-.pdf,'I''ll Never Love Again',25,h1D4c,Published,0
