Name,Section/Column,Due Date,Tags,Parent task,Copyright,XP,Instructor,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
Smooth Slides,Launch Workouts (January 1st),2023-09-18,,,No,200,Julia Ziegler,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878040241,333,gLswc,"Hum & ""Ng"" Exercise:27",Humming Octave Slide:98,Sliding on “Ee”:130,Puffy Cheeks Exercise:227,Once More On “Ng”:290,Outro:324,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/smooth-slides.jpg,Vimeo,smooth-slides.jpg
Morning Warm-Up,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889202772,494,DkwYc,Intro & Morning Stretches:0,"Lazy, Creeky “Mmm’s”:132",Slide On “Ng”:232,Lip Trill Arpeggio:339,Box Breathing:427,Outro:483,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/morning-warmup.jpg,Vimeo,morning-warmup.jpg
Darcy's Warm-Up,Launch Workouts (January 1st),2023-09-22,,,No,200,Darcy D,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890499293,406,Bb8wc,Intro:0,Hum Exercise:15,Lip Bubble Exercise:84,Puffy Cheeks Semi-Occluded Vocal Tract Exercise:230,"""Hoo"" Descending Pattern Exercise:344",Outro:401,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/darcys-warmup.jpg,Vimeo,darcys-warmup.jpg
Cool Down Your Voice,Launch Workouts (January 1st),2023-09-22,,,No,200,Darcy D,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890494880,354,hT8wc,Intro:0,Lip Bubble Exercise:14,"5-Tone ""Mmm"" Exercise:162",Reverse Arpeggio Puffy Cheeks:162,Outro:242,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/cool-down-your-voice.jpg,Vimeo,cool-down-your-voice.jpg
The Counting Warm-Up,Launch Workouts (January 1st),2023-09-18,,,No,200,Julia Ziegler,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878046417,718,2fJwc,Counting Exercise Ascending:27,Counting Exercise Ascending And Descending:73,Scale Going Back To The 1:145,Scale Going Back To The 8:280,Scale Ascending And Descending:420,Outro:710,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/the-counting-warmup.jpg,Vimeo,the-counting-warmup.jpg
Narrow Vowel Workout,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878066512,427,7kwYc,Intro:0,Beeps:15,No's:123,May:232,Goo:346,Outro:440,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/narrow-vowel-workout.jpg,Vimeo,narrow-vowel-workout.jpg
Wide Vowel Workout,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,877303378,463,94wYc,Intro:0,Bup Scale:39,Ah Scale:147,Yeah Scale:255,Faster Bah Scale:371,Outro:463,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/wide-vowel-workout.jpg,Vimeo,wide-vowel-workout.jpg
Neutral Vowel Workout,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,877303264,483,-4wYc,Intro:0,“Nuh” Scale:33,“Buh” Same Scale:133,“Bep” Different Scale:241,“Bip” Scale:357,Outro:449,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/neutral-vowel-workout.jpg,Vimeo,neutral-vowel-workout.jpg
Vowels: Sharing The Space,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878066603,372,r4wYc,Intro:0,"""Bu"" And ""Buh"" Exercise:20","""Nu"" To ""Uh"" Exercise:110",We And Whey Exercise:191,We And Eh Exercise:282,Outro:361,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/vowels-sharing-the-space.jpg,Vimeo,vowels-sharing-the-space.jpg
Develop Your High Range,Launch Workouts (January 1st),2023-11-23,,,No,200,Raymond Salgado,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890087223,394,lywYc,Intro:0,Lip Trills:6,"Fi, Fi, Fi: 122",Foo On The Same Scale:255,Outro:387,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/develop-your-high-range.jpg,Vimeo,develop-your-high-range.jpg
Develop Your Chest Voice,Launch Workouts (January 1st),2023-11-01,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,887816187,318,5Lswc,Staccato Ugly “Ah”:18,Staccato Ugly “Ah” New Key:81,Staccato Ugly “Ah” New Higher Key:140,Staccato Exercise Higher Key:208,Another Key Change:260,Outro:308,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/develop-your-chest-voice.jpg,Vimeo,develop-your-chest-voice.jpg
Finding Connection,Launch Workouts (January 1st),2023-09-18,,,No,200,Julia Ziegler,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878024924,586,ldbwc,"Creaky ""M's"" & 5 Note Scale:31","Teletubby ""Uh Oh's"":210","Ugly ""Ah's"" & Vowels:258",All Exercises Combined:354,Cool Down:547,Outro:579,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/finding-connection.jpg,YouTube,finding-connection.jpg
Free Your Voice,Launch Workouts (January 1st),2023-09-25,,,No,200,Darcy D,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890492690,573,tsvwc,Free Voice Exercise 1:9,"Long Scale Lip Bubble And ""Woof"":122","""Foo"" Reverse Arpeggio:299","""Wee"" Octave Repeat Exercise:392","""Hoo"" Descending Scale:510",Outro:567,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/free-your-voice.jpg,Vimeo,free-your-voice.jpg
Pitch Training On The Major Scale,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Scales,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,887815947,243,PywYc,Staccato Major Scale:11,Reverse Scale:59,Up And Down Scale:94,Up And Down Scale On Numbers:126,Hum Smooth Scale:163,Outro:235,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/pitch-training-on-the-major-scale.jpg,Vimeo,pitch-training-on-the-major-scale.jpg
Intro To Vocal Fry,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,887816506,243,gywYc,Frying Scale:20,Lips Closed Frying Scale:79,Hold A Single Note:120,Hold On “Eee”:163,“Ah” Arpeggio:188,Outro:228,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/intro-to-vocal-fry.jpg,Vimeo,intro-to-vocal-fry.jpg
Unlock Your Vibrato,Launch Workouts (January 1st),2023-09-18,,,No,200,Julia Ziegler,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878051973,509,XLswc,Vibrato Exercises:48,Break:179,Vibrato Exercises #2:209,Break #2:338,Vibrato Exercises #3:369,Outro:499,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/unlock-your-vibrato.jpg,YouTube,unlock-your-vibrato.jpg
Intro To Belting,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,4,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,877303098,359,W3twc,Intro:0,Belting Exercise:33,New Key:105,Higher Key:176,Even Higher Key:248,Outro:309,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/intro-to-belting.jpg,Vimeo,intro-to-belting.jpg
Transition Workout For Blenders,Launch Workouts (January 1st),2023-09-25,,,No,200,Darcy D,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890474157,599,dPwYc,Balance And Strength Workout:14,"""Boo"" Exercise:113","""Gug"" Reverse Arpeggio:197","Octave Repeat On ""Go"" And ""Bah"":288","""Gee"" Exercise:512",Outro:592,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/transition-workout-for-blenders.jpg,Vimeo,transition-workout-for-blenders.jpg
Transition Workout For No-Chest-Voice,Launch Workouts (January 1st),2023-09-25,,,No,200,Darcy D,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878025303,485,tPwYc,No-Chest-Voice Exercise:15,"Long scale ""Gug"":99","Long Scale ""Bah"":190","""Gee"" Reverse Scale:303",Long Scale Bratty Bubble:399,Outro:474,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/transition-workout-for-nochestvoice.jpg,Vimeo,transition-workout-for-nochestvoice.jpg
Transition Workout For Chest-Pullers,Launch Workouts (January 1st),2023-09-25,,,No,200,Darcy D,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,879514060,531,N9wYc,Chest Puller Exercise:12,"""We"" Exercise:110","""Bou"" Octave Repeat Scale:194","""Woof"" Octave Repeat Scale:308",Lip Bubble On A Descending Pattern:417,Outro:521,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/transition-workout-for-chestpullers.jpg,Vimeo,transition-workout-for-chestpullers.jpg
Transition Workout For Flippers,Launch Workouts (January 1st),2023-09-22,,,No,200,Darcy D,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,879514713,638,nq8wc,Flipper Exercise:23,"Ugly ""Ah"" Exercise:128","""Bou"" On Long Scale:249","Octave Repeat On ""Mum"":340","Long Scale ""Bup"" And Dopey Bubble:456",Outro:622,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/transition-workout-for-flippers.jpg,Vimeo,transition-workout-for-flippers.jpg
Building Balance,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,877303126,637,q9wYc,Bubble And Mum Exercise:25,Nuh And Go Exercise:148,Buh Same Scale:332,Nuh and Gug Backwards Arpeggio:419,Puffy Cheeks Double Arpeggio:505,Outro:624,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/building-balance.jpg,Vimeo,building-balance.jpg
Singing On Numbers,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Ear-Training,5,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890074687,433,cVrwc,Major Scale On Numbers:36,Same Thing Up To The Five:130,Jumps:173,Broken Scale:203,Unfamiliar Patterns:254,Outro:416,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/singing-on-numbers.jpg,Vimeo,singing-on-numbers.jpg
Singing On Solfege,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Ear-Training,5,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889203579,432,Rfrwc,Normal Scale On Solfege:32,Shorter Patterns:124,Jumping Notes:216,Broken Scale:286,Major Scale On Solfege:277,Outro:419,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/singing-on-solfege.jpg,Vimeo,singing-on-solfege.jpg
Clear Diction,Launch Workouts (January 1st),,,,No,200,Julia Ziegler,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890140073,330,pdpwc,Yum Followed By Bubble:53,Mommy Made Me And What A Pity:99,Meow And Wow:144,Proper Cup Of Coffee And Bups:190,Tip Of The Tongue:236,Outro:319,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/clear-diction.jpg,Vimeo,clear-diction.jpg
Banish Vocal Fatigue,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,877303339,367,lRtwc,Intro:0,"Woof, Hum, Puffy Cheeks, Foo And Hung:30",New Key:138,Higher Key:245,Outro:341,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/banish-vocal-fatigue.jpg,Vimeo,banish-vocal-fatigue.jpg
Intro to Articulation,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889351815,339,Nm6wc,Warm-Up And Staccato Ah's:26,"Staccato Up, Legato Down:90",Swooping Through The Pattern:138,Ah’s Up And Down:191,Staccato Go And Smooth On The Way Down:240,Outro:293,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/intro-to-articulation.jpg,Vimeo,intro-to-articulation.jpg
Intro To The Blues Scale,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Scales,4,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889204100,617,5GkYc,"One, Minor 3, One:31",Adding The Four And Middle Notes:84,The Whole Scale:178,Vary The Rhythm:311,Any Words Or Syllables:390,Outro:450,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/intro-to-the-blues-scale.jpg,Vimeo,intro-to-the-blues-scale.jpg
Intro To The Pentatonic Scale,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Scales,3,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889348262,399,GKwYc,Pentatonic Scale:18,Double The Tempo:106,Adding The Octave:182,Starting On The Five:255,Changing The Melody:327,Outro:378,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/intro-to-the-pentatonic-scale.jpg,Vimeo,intro-to-the-pentatonic-scale.jpg
